,name,cuisine,is_closed,review_count,rating,price,address,phone,latitude,longitude,zip_code,building
0,Il Porto Ristorante,pizza,False,321,4.0,$$,37 Washington Ave,+17186240954,40.6974427,-73.9675197,11205,37
1,Brooklyn Roasting Company,coffee,False,72,3.5,$$,200 Flushing Ave,,40.6975976,-73.9680088,11205,200
2,We Rub You,bbq,False,4,5.0,$$$,141 Flushing Ave Bldg 77,+17183879797,40.697886,-73.9690617,11205,141
3,John's Coffee Donut Shop,diners,False,74,4.0,$,481 Myrtle Ave,+17186380412,40.693641,-73.966094,11205,481
4,Soco,cajun,False,2137,4.0,$$,509 Myrtle Ave,+17187831936,40.693866,-73.964535,11205,509
5,WAZA Sushi & Ramen,sushi,False,168,3.5,$$,485 Myrtle Ave,+17183999292,40.69359,-73.9657299,11205,485
6,Los Pollitos III,mexican,False,146,2.5,$$,499 Myrtle Ave,+17186366125,40.69366,-73.96517,11205,499
7,Wray's Caribbean and Seafood Cuisine,caribbean,False,282,2.5,$$,503 Myrtle Ave,+17187891111,40.69376,-73.96478,11205,503
8,Petee's Cafe,cafes,False,83,4.5,$$,505 Myrtle Ave,+16464943630,40.693794,-73.964702,11205,505
9,Castro's Restaurant,mexican,False,272,3.5,$,511 Myrtle Ave,+17183990084,40.6938559,-73.964426,11205,511
10,Kum Kau,chinese,False,254,3.0,$$,465 Myrtle Ave,+17186381850,40.693573,-73.966702,11205,465
11,Dunkin',donuts,False,18,2.5,$,513 Myrtle Ave,+17182300099,40.69375,-73.96432,11205,513
12,Five Spot,soulfood,False,190,2.0,$$,459 Myrtle Ave,+17188520202,40.69352,-73.96717,11205,459
13,OJBK Tea Shop,bubbletea,False,3,3.5,$,525 Myrtle Ave,+17185763047,40.69395,-73.96369,11205,525
14,The Halal Spot,halal,False,93,4.0,$,474 Myrtle Ave,+17182304900,40.6933499872684,-73.9663421,11205,474
15,Peck's,bakeries,False,132,4.0,$$,455A Myrtle Ave,+13476894969,40.693489,-73.967376,11205,455
16,Parlor Coffee,coffee,False,13,4.0,$,11 Vanderbilt Ave,+19179666070,40.69748,-73.97041,11205,11
17,Villa Pancho Taqueria,mexican,False,44,3.5,$,472 Myrtle Ave,+17186239016,40.6933447063192,-73.9664311287236,11205,472
18,Bar Bolinas,newamerican,False,121,4.0,$$,455 Myrtle Ave,+17189359331,40.693499,-73.967389,11205,455
19,Liberty Pizzeria,pizza,False,32,3.5,$,482 Myrtle Ave,+17187890600,40.693225,-73.966018,11205,482
20,Grace Kitchen,chinese,False,27,3.0,$,484 Myrtle Ave,+17187896296,40.6933,-73.96569,11205,484
21,Yamashiro,japanese,False,132,3.5,$$,466 Myrtle Ave,+17182303313,40.69326,-73.9666,11205,466
22,Spice & Grill : The Indian Kitchen,indpak,False,143,4.0,$$,441 Myrtle Ave,+17188752525,40.6933894,-73.9679912,11205,441
23,Da Ciro Brooklyn,pizza,False,93,4.5,$$,458 Myrtle Ave,+19292959542,40.6931299,-73.96716,11205,458
24,Farmer in the Deli,delis,False,8,4.5,$,541 Myrtle Ave,+17187891000,40.6939057,-73.963057,11205,541
25,El Cofre,latin,False,57,3.0,$,454 Myrtle Ave,+17189351153,40.6930809020996,-73.9673004150391,11205,454
26,U-gu,sushi,False,129,4.5,$$,541 Myrtle Ave,+17188570222,40.69393,-73.96284,11205,541
27,Thai 101 Bistro,thai,False,183,3.0,$$,448 Myrtle Ave,+17188558518,40.6930313110352,-73.9674987792969,11205,448
28,Bergen Bagels,bagels,False,225,3.0,$,536 Myrtle Ave,+17187899300,40.69354,-73.96356,11205,536
29,Connecticut Muffin,newamerican,False,54,3.0,$,423 Myrtle Ave,+17189350087,40.6932443,-73.9686472,11205,423
30,Myrtle Thai,thai,False,165,3.5,$$,438 Myrtle Ave,+17184221142,40.69308,-73.96814,11205,438
31,Putnam's Pub & Cooker,gastropubs,False,437,3.5,$$,419 Myrtle Ave,+13477992382,40.693321,-73.969045,11205,419
32,BKG Coffee Roasters,coffee,False,76,4.5,$$,557 Myrtle Ave,,40.69404,-73.96193,11205,557
33,Cardiff Giant,bars,False,50,4.0,$$,415 Myrtle Ave,+19293377873,40.69324,-73.96923,11205,415
34,The Emerson,lounges,False,78,4.0,$$,561 Myrtle Ave,+13477631310,40.69414,-73.961817,11205,561
35,Cap't Loui,cajun,False,49,4.0,$$,413 Myrtle Ave,+13478449920,40.69323,-73.9693,11205,413
36,Damas Falafel House,falafel,False,117,3.5,$,407 Myrtle Ave,+17188526677,40.693359375,-73.9695205688477,11205,407
37,66S Fusion,sushi,False,88,4.0,$$,130 Flushing Ave,+17182220050,40.6977600194066,-73.9715740687866,11205,130
38,Russ & Daughters - Brooklyn,bagels,False,53,3.0,$$,141 Flushing Ave,+12124754880,40.69799,-73.97116,11205,141
39,The Food Sermon Kitchen,caribbean,False,259,4.5,$$,141 Flushing Ave,,40.6985551,-73.9712029,11205,141
40,Taqueria Tepango,mexican,False,215,4.0,$,568 Myrtle Ave,+17186368878,40.6937857,-73.9616331,11205,568
41,Myrtle Bagel,bagels,False,78,3.5,$,410 Myrtle Ave,+17188584916,40.6930314149359,-73.9693918107215,11205,410
42,De Mole Astoria,mexican,False,369,4.0,$$,4220 30th Ave,+17187771655,40.7625999,-73.9129028,11103,4220
43,La Luna Cafe,bagels,False,54,4.0,$,4401 30th Ave,+17186060094,40.762443,-73.911519,11103,4401
44,Sorriso Italian Pork Store,meats,False,333,4.5,$,4416 30th Ave,+17187284392,40.7621401,-73.9116109,11103,4416
45,Ukus,modern_european,False,77,4.0,$$,42-08 30th Ave,+17182678587,40.762977451086,-73.9131711423397,11103,42
46,Gian Piero Bakery,bakeries,False,176,4.0,$,4417 30th Ave,+17182748959,40.76229,-73.91103,11103,4417
47,Ddee Thai,thai,False,23,4.5,$$,42-06 30th Ave,+17186261222,40.762909,-73.91325,11103,42
48,Ma La La,chinese,False,35,4.5,$$,42-02 30th Ave,+17186061898,40.7629662660109,-73.913354203105,11103,42
49,The Quays Pub,pubs,False,101,4.5,$,45-02 30th Ave,,40.76173,-73.91103,11103,45
50,Blackbird's Bar & Restaurant,pubs,False,259,4.0,$$,41-19 30th Ave,+17189436899,40.76341,-73.91335,11103,41
51,Gaudio's Pizzeria & Restaurant,italian,False,79,3.5,$$,40-13 30th Ave,+17187212882,40.7637919,-73.9143362,11103,40
52,Passage Irish Bar and Kitchen,irish,False,162,4.5,$$,40-11 30th Ave,+19178326680,40.7638287,-73.9145416,11103,40
53,King's Chef,chinese,False,51,3.5,$,4311 28th Ave,+17182746666,40.764358,-73.910705,11103,4311
54,Piccola Venezia Restaurant,italian,False,248,4.5,$$$,4201 28th Ave,+17187218470,40.76476,-73.9117799,11103,4201
55,Fitrition,juicebars,False,50,4.0,$$,30-09 Steinway St,+17184409268,40.763574357045,-73.9151938226194,11103,30
56,Dillingers Pub & Grill,bars,False,345,4.0,$$,46-19 30th Ave,+17189565601,40.7615,-73.90934,11103,46
57,The Lingerie Shoppe aka Astoria’s Secret,speakeasies,False,10,4.5,$$,28-53 Steinway St,,40.76406,-73.9145,11103,28
58,Rizzo's Fine Pizza,pizza,False,599,4.0,$,3013 Steinway St,+17187219862,40.76335,-73.91516,11103,3013
59,Max Bratwurst und Bier,german,False,368,4.5,$$,4702 30th Ave,+17187771635,40.7612453874006,-73.9094611979998,11103,4702
60,Kinship Coffee,coffee,False,199,4.0,$$,30-05 Steinway St,+16464687149,40.7634513207248,-73.9151231902811,11103,30
61,Ignited Restaurant & Lounge,hookah_bars,False,209,4.0,$$,3027 Steinway St,+17184122414,40.763195170874,-73.9153153029795,11103,3027
62,31st Avenue Deli Stop,delis,False,52,4.0,$,4301 31st Ave,+17182678789,40.7603149414062,-73.914421081543,11103,4301
63,Mini Star Restaurant,tradamerican,False,169,3.5,$,30-02 Steinway St,+19177750426,40.7638,-73.91526,11103,30
64,Tu Casa Restaurant,latin,False,397,3.5,$$,30-10 Steinway St,+17188061819,40.7637147,-73.9153436938484,11103,30
65,3 Alarm Deli,delis,False,39,3.5,$,45-15 28th Ave,+17187214155,40.76352,-73.90899,11103,45
